time_s,waypoint,state,n_objects,classes,frame_path
236.40,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_236.4s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_236.4s.jpg
238.42,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_238.4s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_238.4s.jpg
248.13,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_248.1s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_248.1s.jpg
250.13,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_250.1s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_250.1s.jpg
252.15,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_252.1s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_252.1s.jpg
254.15,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_254.2s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_254.2s.jpg
256.15,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_256.2s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_256.2s.jpg
258.15,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_258.2s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_258.2s.jpg
260.16,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_260.2s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_260.2s.jpg
262.17,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_262.2s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_262.2s.jpg
264.20,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_264.2s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_264.2s.jpg
266.24,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_266.2s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_266.2s.jpg
268.26,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_268.3s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_268.3s.jpg
