time_s,waypoint,state,n_objects,classes,frame_path
24.06,1,WAYPOINT_ARRIVED,0,,/home/tapaswee/clearpath_ws/logs/vision/wp1_arrival_0_24.1s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp1_arrival_1_24.1s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp1_arrival_2_24.1s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp1_arrival_3_24.1s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp1_arrival_4_24.1s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp1_arrival_5_24.1s.jpg
55.27,2,WAYPOINT_ARRIVED,0,,/home/tapaswee/clearpath_ws/logs/vision/wp2_arrival_0_55.3s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp2_arrival_1_55.3s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp2_arrival_2_55.3s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp2_arrival_3_55.3s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp2_arrival_4_55.3s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp2_arrival_5_55.3s.jpg
86.41,3,WAYPOINT_ARRIVED,0,,/home/tapaswee/clearpath_ws/logs/vision/wp3_arrival_0_86.4s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp3_arrival_1_86.4s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp3_arrival_2_86.4s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp3_arrival_3_86.4s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp3_arrival_4_86.4s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp3_arrival_5_86.4s.jpg
