time_s,waypoint,state,n_objects,classes,frame_path
23.36,1,WAYPOINT_ARRIVED,0,,/home/tapaswee/clearpath_ws/logs/vision/wp1_arrival_0_23.4s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp1_arrival_1_23.4s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp1_arrival_2_23.4s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp1_arrival_3_23.4s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp1_arrival_4_23.4s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp1_arrival_5_23.4s.jpg
54.91,2,WAYPOINT_ARRIVED,1,person,/home/tapaswee/clearpath_ws/logs/vision/wp2_arrival_0_54.9s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp2_arrival_1_54.9s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp2_arrival_2_54.9s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp2_arrival_3_54.9s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp2_arrival_4_54.9s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp2_arrival_5_54.9s.jpg
80.10,3,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_80.1s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_80.1s.jpg
86.39,3,WAYPOINT_ARRIVED,0,,/home/tapaswee/clearpath_ws/logs/vision/wp3_arrival_0_86.4s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp3_arrival_1_86.4s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp3_arrival_2_86.4s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp3_arrival_3_86.4s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp3_arrival_4_86.4s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp3_arrival_5_86.4s.jpg
126.00,4,WAYPOINT_ARRIVED,0,,/home/tapaswee/clearpath_ws/logs/vision/wp4_arrival_0_126.0s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp4_arrival_1_126.0s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp4_arrival_2_126.0s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp4_arrival_3_126.0s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp4_arrival_4_126.0s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp4_arrival_5_126.0s.jpg
