#{"t_start": 1775119134.139141, "env_id": "None"}
r,l,t
-50.0,1,319.966078
-50.0,1,321.169828
-50.0,1,322.37314
-50.0,1,323.57709
-50.0,1,324.783005
-50.0,1,325.986534
-50.0,1,327.190196
-50.0,1,328.393759
-50.0,1,329.600772
-50.0,1,330.805193
-50.0,1,332.009679
-50.0,1,333.213675
-50.0,1,334.419939
-50.0,1,335.624133
-50.0,1,336.828375
-50.0,1,338.031958
-50.0,1,339.23694
-50.0,1,340.44137
-50.0,1,341.645898
-50.0,1,342.849591
-50.0,1,344.054523
-50.0,1,345.259283
-50.0,1,346.462646
-50.0,1,347.666235
-50.0,1,348.872307
-50.0,1,350.0758
-50.0,1,351.279009
-50.0,1,352.483417
-50.0,1,353.690626
-50.0,1,354.89453
-50.0,1,356.098679
-50.0,1,357.301939
-50.0,1,358.510439
-50.0,1,359.714483
-50.0,1,360.918332
-50.0,1,362.122106
-50.0,1,363.328455
-50.0,1,364.53316
-50.0,1,365.738194
-50.0,1,366.94221
-50.0,1,368.14713
-50.0,1,369.350593
-50.0,1,370.555656
-50.0,1,371.759861
-50.0,1,372.96572
-50.0,1,374.16912
-50.0,1,375.37309
-50.0,1,376.577478
-50.0,1,377.783529
-50.0,1,378.988001
-50.0,1,380.191773
-50.0,1,381.395825
-50.0,1,382.601605
-50.0,1,383.805766
-50.0,1,385.009856
-50.0,1,386.213229
-50.0,1,387.418705
-50.0,1,388.622628
-50.0,1,389.827393
-50.0,1,391.031834
-50.0,1,392.238033
-50.0,1,393.442331
-50.0,1,394.646384
-50.0,1,395.849854
-50.0,1,397.055316
-50.0,1,398.26003
-50.0,1,399.464087
-50.0,1,400.668228
-50.0,1,401.875749
-50.0,1,403.080059
-50.0,1,404.283521
-50.0,1,405.487461
-50.0,1,406.693738
-50.0,1,407.897038
-50.0,1,409.101756
-50.0,1,410.307184
-50.0,1,411.512775
-50.0,1,412.716806
-50.0,1,413.920794
-50.0,1,415.125231
-50.0,1,416.330821
-50.0,1,417.53483
-50.0,1,418.738419
-50.0,1,419.942127
-50.0,1,421.148019
-50.0,1,422.352502
-50.0,1,423.557502
-50.0,1,424.761775
-50.0,1,425.967925
-50.0,1,427.171511
-50.0,1,428.376069
-50.0,1,429.579606
-50.0,1,430.786914
-50.0,1,431.99241
-50.0,1,433.196291
-50.0,1,434.400166
-50.0,1,435.606096
-50.0,1,436.811263
-50.0,1,438.015729
-50.0,1,439.219351
-50.0,1,440.426481
-50.0,1,441.632972
-50.0,1,442.837143
-50.0,1,444.040552
-50.0,1,445.24645
-50.0,1,446.450181
-50.0,1,447.654041
-50.0,1,448.857803
-50.0,1,450.063922
-50.0,1,451.267431
-50.0,1,452.471591
-50.0,1,453.675543
-50.0,1,454.881482
-50.0,1,456.086447
-50.0,1,457.289772
-50.0,1,458.494017
-50.0,1,459.700007
-50.0,1,460.906755
-50.0,1,462.111259
-50.0,1,463.315063
-50.0,1,464.521098
-50.0,1,465.725796
-50.0,1,466.930036
-50.0,1,468.133669
-50.0,1,469.340984
-50.0,1,470.545089
-50.0,1,471.749487
-50.0,1,472.954897
-50.0,1,474.159994
-50.0,1,475.364331
-50.0,1,476.572231
-50.0,1,477.775876
-50.0,1,478.983128
-50.0,1,480.186805
-50.0,1,481.390405
-50.0,1,482.594506
-50.0,1,483.803618
-50.0,1,485.009476
-50.0,1,486.213795
-50.0,1,487.417893
-50.0,1,488.623824
-50.0,1,489.828077
-50.0,1,491.032496
-50.0,1,492.236124
-50.0,1,493.441739
-50.0,1,494.646399
-50.0,1,495.850939
-50.0,1,497.054215
-50.0,1,498.259878
-50.0,1,499.463554
-50.0,1,500.667476
-50.0,1,501.871696
-50.0,1,503.076727
-50.0,1,504.281211
-50.0,1,505.486417
-50.0,1,506.694069
-50.0,1,507.900826
-50.0,1,509.104365
-50.0,1,510.308048
-50.0,1,511.512708
-50.0,1,512.718734
-50.0,1,513.923256
-50.0,1,515.128286
-50.0,1,516.331647
-50.0,1,517.539889
-50.0,1,518.74446
-50.0,1,519.94863
-50.0,1,521.153676
-50.0,1,522.358942
-50.0,1,523.562258
-50.0,1,524.765832
-50.0,1,525.969768
-50.0,1,527.174417
-50.0,1,528.379219
-50.0,1,529.584925
-50.0,1,530.789511
-50.0,1,531.994825
-50.0,1,533.199052
-50.0,1,534.404749
-50.0,1,535.608988
-50.0,1,536.815748
-50.0,1,538.019691
-50.0,1,539.223733
-50.0,1,540.426926
-50.0,1,541.632498
-50.0,1,542.83713
-50.0,1,544.041623
-50.0,1,545.24703
-50.0,1,546.45269
-50.0,1,547.658353
-50.0,1,548.862864
-50.0,1,550.066765
-50.0,1,551.273761
-50.0,1,552.477987
-50.0,1,553.686112
-50.0,1,554.890982
-50.0,1,556.097984
-50.0,1,557.302293
-50.0,1,558.507287
